Learning Standard,Category,Sub-Category,State Standard,,,
6-8.RST.5,Reading Science/Technical,Craft and Structure,"Analyze the structure an author uses to organize a text, including how the major sections contribute to the whole and to an understanding of the topic.",,,
6-8.RST.6,Reading Science/Technical,Craft and Structure,"Analyze the author’s purpose in providing an explanation, describing a procedure, or discussing an experiment in a text.",,,
6-8.RST.7,Reading Science/Technical,Integration of Knowledge and Ideas,"Integrate quantitative or technical information expressed in words in a text with a version of that information expressed visually (e.g., in a flowchart, diagram, model, graph, or table).",,,
6-8.RST.8,Reading Science/Technical,Integration of Knowledge and Ideas,"Distinguish among facts, reasoned judgment based on research findings, and speculation in a text.",,,
6-8.RST.9,Reading Science/Technical,Integration of Knowledge and Ideas,"Compare and contrast the information gained from experiments, simulations, video, or multimedia sources with that gained from reading a text on the same topic.",,,
6-8.WHST.1,Writing HS/S/T,Text Types and Purposes,Write arguments focused on discipline-specific content.,,,
6-8.WHST.1.a,Writing HS/S/T,Text Types and Purposes,"Introduce claim(s) about a topic or issue, acknowledge and distinguish the claim(s) from alternate or opposing claims, and organize the reasons and evidence logically.",,,
6-8.WHST.1.b,Writing HS/S/T,Text Types and Purposes,"Support claim(s) with logical reasoning and relevant, accurate data and evidence that demonstrate an understanding of the topic or text, using credible sources.",,,
6-8.WHST.1.c,Writing HS/S/T,Text Types and Purposes,"Use words, phrases, and clauses to create cohesion and clarify the relationships among claim(s), counterclaims, reasons, and evidence.",,,
6-8.WHST.1.d,Writing HS/S/T,Text Types and Purposes,Establish and maintain a formal style.,,,
6-8.WHST.1.e,Writing HS/S/T,Text Types and Purposes,Provide a concluding statement or section that follows from and supports the argument presented.,,,
6-8.WHST.10,Writing HS/S/T,Range of Writing,"Write routinely over extended time frames (time for reflection and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences.",,,
6-8.WHST.2,Writing HS/S/T,Text Types and Purposes,"Write informative/explanatory texts, including the narration of historical events, scientific procedures/ experiments, or technical processes.",,,
6-8.WHST.2.a,Writing HS/S/T,Text Types and Purposes,"Introduce a topic clearly, previewing what is to follow; organize ideas, concepts, and information into broader categories as appropriate to achieving purpose; include formatting (e.g., headings), graphics (e.g., charts, tables), and multimedia when useful to aiding comprehension.",,,
6-8.WHST.2.b,Writing HS/S/T,Text Types and Purposes,"Develop the topic with relevant, well-chosen facts, definitions, concrete details, quotations, or other information and examples.",,,
6-8.WHST.2.c,Writing HS/S/T,Text Types and Purposes,Use appropriate and varied transitions to create cohesion and clarify the relationships among ideas and concepts.,,,
6-8.WHST.2.d,Writing HS/S/T,Text Types and Purposes,Use precise language and domain-specific vocabulary to inform about or explain the topic.,,,
6-8.WHST.2.e,Writing HS/S/T,Text Types and Purposes,Establish and maintain a formal style and objective tone.,,,
6-8.WHST.2.f,Writing HS/S/T,Text Types and Purposes,Provide a concluding statement or section that follows from and supports the information or explanation presented.,,,
6-8.WHST.3,Writing HS/S/T,Text Types and Purposes,(See note; not applicable as a separate requirement),,,
6-8.WHST.4,Writing HS/S/T,Production and Distribution of Writing,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.",,,
6-8.WHST.5,Writing HS/S/T,Production and Distribution of Writing,"With some guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach, focusing on how well purpose and audience have been addressed.",,,
6-8.WHST.6,Writing HS/S/T,Production and Distribution of Writing,"Use technology, including the Internet, to produce and publish writing and present the relationships between information and ideas clearly and efficiently.",,,
6-8.WHST.7,Writing HS/S/T,Research to Build and Present Knowledge,"Conduct short research projects to answer a question (including a self-generated question), drawing on several sources and generating additional related, focused questions that allow for multiple avenues of exploration.",,,
6-8.WHST.8,Writing HS/S/T,Research to Build and Present Knowledge,"Gather relevant information from multiple print and digital sources, using search terms effectively; assess the credibility and accuracy of each source; and quote or paraphrase the data and conclusions of others while avoiding plagiarism and following a standard format for citation.",,,
6-8.WHST.9,Writing HS/S/T,Research to Build and Present Knowledge,"Draw evidence from informational texts to support analysis reflection, and research.",,,
9-10.RH.1,Reading History/Social Studies,Key Ideas and Details,"Cite specific textual evidence to support analysis of primary and secondary sources, attending to such features as the date and origin of the information.",,,
9-10.RH.10,Reading History/Social Studies,Range of Reading and Level of Text Complexity,"By the end of grade 10, read and comprehend history/social studies texts in the grades 9–10 text complexity band independently and proficiently.",,,
9-10.RH.2,Reading History/Social Studies,Key Ideas and Details,Determine the central ideas or information of a primary or secondary source; provide an accurate summary of how key events or ideas develop over the course of the text.,,,
9-10.RH.3,Reading History/Social Studies,Key Ideas and Details,Analyze in detail a series of events described in a text; determine whether earlier events caused later ones or simply preceded them.,,,
9-10.RH.4,Reading History/Social Studies,Craft and Structure,"Determine the meaning of words and phrases as they are used in a text, including vocabulary describing political, social, or economic aspects of history/social science.",,,
9-10.RH.5,Reading History/Social Studies,Craft and Structure,Analyze how a text uses structure to emphasize key points or advance an explanation or analysis.,,,
9-10.RH.6,Reading History/Social Studies,Craft and Structure,"Compare the point of view of two or more authors for how they treat the same or similar topics, including which details they include and emphasize in their respective accounts.",,,
9-10.RH.7,Reading History/Social Studies,Integration of Knowledge and Ideas,"Integrate quantitative or technical analysis (e.g., charts, research data) with qualitative analysis in print or digital text.",,,
9-10.RH.8,Reading History/Social Studies,Integration of Knowledge and Ideas,Assess the extent to which the reasoning and evidence in a text support the author’s claims.,,,
9-10.RH.9,Reading History/Social Studies,Integration of Knowledge and Ideas,Compare and contrast treatments of the same topic in several primary and secondary sources.,,,
9-10.RST.1,Reading Science/Technical,Key Ideas and Details,"Cite specific textual evidence to support analysis of science and technical texts, attending to the precise details of explanations or descriptions.",,,
9-10.RST.10,Reading Science/Technical,Range of Reading and Level of Text Complexity,"By the end of grade 10, read and comprehend science/technical texts in the grades 9–10 text complexity band independently and proficiently.",,,
9-10.RST.2,Reading Science/Technical,Key Ideas and Details,"Determine the central ideas or conclusions of a text; trace the text’s explanation or depiction of a complex process, phenomenon, or concept; provide an accurate summary of the text.",,,
9-10.RST.3,Reading Science/Technical,Key Ideas and Details,"Follow precisely a complex multistep procedure when carrying out experiments, taking measurements, or performing technical tasks, attending to special cases or exceptions defined in the text.",,,
9-10.RST.4,Reading Science/Technical,Craft and Structure,"Determine the meaning of symbols, key terms, and other domain-specific words and phrases as they are used in a specific scientific or technical context relevant to grades 9–10 texts and topics.",,,
9-10.RST.5,Reading Science/Technical,Craft and Structure,"Analyze the structure of the relationships among concepts in a text, including relationships among key terms (e.g., force, friction, reaction force, energy).",,,
